iyear;imonth;iday;country;region;success;suicide;attacktype1;targtype1;targsubtype1;natlty1;guncertain1;weaptype1;individual;ransom;gname
2000;1;24;213;11;1;0;2;13;65;213;0;5;0;0;Lords Resistance Army (LRA)
2000;1;24;93;5;1;0;3;4;34;93;0;6;0;0;Free Aceh Movement (GAM)
2000;1;24;92;6;1;0;2;4;27;92;0;6;0;0;Muslim extremists
2000;1;24;217;1;0;0;7;1;0;217;0;8;0;0;Animal Liberation Front (ALF)
2000;1;24;186;6;1;0;9;14;77;186;0;13;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;25;8;11;1;0;9;14;71;162;1;13;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;25;228;10;1;0;6;21;108;217;0;13;0;0;Tribesmen
2000;1;26;141;6;1;0;2;3;22;141;0;5;0;0;Left-wing extremists
2000;7;27;167;9;1;0;2;3;25;167;0;5;0;0;Gunmen
2000;1;28;186;6;1;0;2;4;34;186;0;5;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;28;45;3;1;0;6;14;67;45;0;13;0;0;Popular Liberation Army (EPL)
2000;1;0;45;3;1;0;2;14;67;45;0;5;0;-9;United Self Defense Units of Colombia (AUC)
2000;1;29;6;10;1;0;2;3;22;6;0;5;0;0;Salafist Group for Preaching and Fighting (GSPC)
2000;1;29;213;11;1;0;6;13;65;213;0;13;0;0;Lords Resistance Army (LRA)
2000;1;29;139;11;1;0;6;14;67;139;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;1;29;45;3;1;0;3;21;108;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;1;28;235;9;1;0;2;2;18;235;0;5;0;0;Gunmen
2000;1;30;110;10;1;0;1;17;94;110;0;6;0;0;Hezbollah
2000;1;30;186;6;1;0;3;19;99;186;1;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;1;31;92;6;1;0;6;14;73;92;0;5;0;-9;Insurgents
2000;1;31;92;6;1;0;6;14;73;92;0;5;0;-9;Insurgents
2000;2;0;195;11;1;0;9;14;71;195;0;13;0;0;Sudan Peoples Liberation Army (SPLA)
2000;1;31;92;6;1;0;6;14;67;92;1;13;0;-9;National Liberation Front of Tripura (NLFT)
2000;2;1;159;3;1;0;2;14;79;159;1;5;0;0;Shining Path (SL)
2000;2;3;186;6;1;0;3;19;99;186;1;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;3;45;3;1;0;3;21;108;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;3;195;11;1;0;6;7;47;422;1;13;0;-9;Militia Members
2000;2;4;45;3;1;0;3;14;67;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;5;94;10;1;0;3;15;86;94;0;6;0;0;Mujahedin-e Khalq (MEK)
2000;2;5;94;10;1;0;3;2;17;94;0;6;0;0;Mujahedin-e Khalq (MEK)
2000;2;6;603;8;1;0;3;1;8;233;0;6;0;0;Continuity Irish Republican Army (CIRA)
2000;2;8;45;3;1;0;3;21;108;999;1;6;0;0;National Liberation Army of Colombia (ELN)
2000;2;9;186;6;1;0;3;4;34;186;0;5;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;9;130;1;1;0;2;14;68;130;0;5;0;0;Gunmen
2000;2;10;92;6;1;0;2;3;25;92;1;5;0;0;Guerrillas
2000;2;10;209;10;1;0;3;16;0;209;0;6;0;0;Great Eastern Islamic Raiders Front (IBDA-C)
2000;2;10;209;10;1;0;3;14;81;209;0;6;0;0;Great Eastern Islamic Raiders Front (IBDA-C)
2000;2;10;209;10;1;0;3;2;21;209;0;6;0;0;Great Eastern Islamic Raiders Front (IBDA-C)
2000;2;11;110;10;1;0;2;4;34;97;1;5;0;0;Hezbollah
2000;2;11;185;8;1;0;7;1;4;185;1;8;0;0;Basque Fatherland and Freedom (ETA)
2000;2;8;186;6;1;0;3;19;99;186;0;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;14;78;8;1;0;3;1;4;217;0;6;0;0;Erotic Anti-authority Cells
2000;2;14;213;11;1;0;6;4;34;213;0;13;0;0;Lords Resistance Army (LRA)
2000;2;15;160;5;1;0;6;14;72;160;1;5;0;1;Moro Islamic Liberation Front (MILF)
2000;2;15;160;5;1;0;6;12;61;160;0;5;0;0;Abu Sayyaf Group (ASG)
2000;2;16;160;5;1;0;2;4;34;160;1;5;0;0;Abu Sayyaf Group (ASG)
2000;2;16;59;3;1;0;3;10;55;59;1;6;0;0;National Liberation Army (Ecuador)
2000;2;17;92;6;1;0;1;4;29;92;0;6;0;0;Hizbul Mujahideen (HM)
2000;2;17;139;11;1;0;6;14;67;139;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;2;17;45;3;1;0;3;3;22;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;18;92;6;1;0;3;3;25;92;0;6;0;0;Separatists
2000;2;18;92;6;1;0;3;4;39;92;0;6;0;0;Separatists
2000;2;18;45;3;1;0;3;3;22;45;0;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;18;92;6;1;0;2;3;22;92;0;6;0;0;Peoples War Group (PWG)
2000;2;18;45;3;1;0;6;14;67;45;0;9;0;0;United Self Defense Units of Colombia (AUC)
2000;2;18;6;10;1;0;2;14;67;6;1;5;0;0;Islamist extremists
2000;2;19;141;6;1;0;3;3;22;141;0;6;0;0;Communist Party of Nepal- Maoist (CPN-M)
2000;2;20;92;6;1;0;3;3;23;92;1;6;0;0;Peoples War Group (PWG)
2000;2;20;160;5;1;0;3;3;22;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;2;20;160;5;1;0;3;3;26;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;2;20;160;5;1;0;3;3;22;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;2;20;45;3;1;0;3;21;108;45;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;2;20;92;6;1;0;8;2;18;92;1;9;0;0;National Peoples Party (Rashtriya Janata Dal - RJD)
2000;2;20;8;11;1;0;2;4;29;8;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;2;20;8;11;1;0;2;4;27;8;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;2;20;92;6;1;0;3;14;67;92;0;8;0;0;National Liberation Front of Tripura (NLFT)
2000;2;20;160;5;1;0;3;3;22;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;2;16;45;3;1;0;9;14;67;45;0;13;0;0;Right-Wing Death Squad
2000;2;21;59;3;0;0;1;12;61;59;0;6;0;0;Grupo de Combatientes Populares
2000;2;21;6;10;1;0;2;14;67;6;0;8;0;0;Armed Islamic Group (GIA)
2000;2;21;159;3;1;0;3;14;67;159;1;6;0;0;Shining Path (SL)
2000;2;22;185;8;1;0;1;2;15;185;1;6;0;0;Basque Fatherland and Freedom (ETA)
2000;2;22;45;3;1;0;7;19;99;45;1;8;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;22;174;11;1;0;2;4;34;174;1;5;0;0;Movement of Democratic Forces of Casamance
2000;2;22;1003;9;1;0;8;14;71;175;0;9;0;0;Albanian extremists
2000;2;22;167;9;1;0;2;4;29;167;0;5;0;0;Chechen Rebels
2000;2;22;92;6;1;0;2;4;29;92;0;5;0;0;Tribesmen
2000;2;22;45;3;1;0;7;19;99;45;1;8;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;22;45;3;1;0;7;19;99;45;1;8;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;2;23;167;9;1;0;8;2;18;167;0;9;0;0;Chechen Rebels
2000;2;23;93;5;1;0;2;4;29;93;1;5;0;0;Free Aceh Movement (GAM)
2000;2;24;6;10;1;0;2;4;0;6;0;5;0;0;Muslim Militants
2000;2;25;603;8;1;0;3;4;27;233;1;6;0;0;Continuity Irish Republican Army (CIRA)
2000;2;25;160;5;1;0;3;11;57;160;0;6;0;0;Moro Islamic Liberation Front (MILF)
2000;2;24;6;10;1;0;2;14;71;6;0;9;0;0;Muslim Militants
2000;2;25;217;1;1;0;7;1;0;217;0;8;0;0;Animal Liberation Front (ALF)
2000;2;26;186;6;1;0;3;2;18;186;0;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;2;26;160;5;1;0;7;19;99;160;1;8;0;0;New Peoples Army (NPA)
2000;2;27;139;11;1;0;2;14;67;139;1;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;2;27;92;6;1;0;3;2;18;92;1;6;0;0;United Liberation Front of Assam (ULFA)
2000;2;27;160;5;1;0;3;10;54;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;3;1;110;10;1;0;3;17;94;110;1;6;0;0;Hezbollah
2000;3;1;228;10;1;0;6;7;45;161;0;13;0;0;Tribesmen
2000;3;2;167;9;1;0;3;2;18;167;1;5;0;0;Chechen Rebels
2000;3;1;186;6;1;0;1;2;15;186;0;5;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;3;160;5;1;0;2;4;34;160;1;5;0;0;New Peoples Army (NPA)
2000;3;3;92;6;1;0;3;14;73;92;1;6;0;0;Separatists
2000;3;4;6;10;1;0;2;14;67;6;1;5;0;0;Squadrons of Terror (Katibat El Ahoual)
2000;3;4;92;6;1;0;1;4;39;92;1;5;0;0;Peoples War Group (PWG)
2000;3;4;92;6;1;0;2;14;67;92;1;5;0;0;Naxalites
2000;3;4;110;10;1;0;2;4;34;97;0;5;0;0;Hezbollah
2000;3;4;213;11;1;0;6;15;85;98;0;5;0;0;Lords Resistance Army (LRA)
2000;3;5;78;8;1;0;3;1;12;78;1;6;0;0;Revolutionary Nuclei
2000;3;5;45;3;1;0;2;14;67;45;0;5;0;-9;United Self Defense Units of Colombia (AUC)
2000;3;6;185;8;1;0;3;4;34;185;1;6;0;0;Basque Fatherland and Freedom (ETA)
2000;3;7;92;6;1;0;1;2;18;92;1;6;0;0;Naxalites
2000;3;7;92;6;1;0;2;3;25;92;1;5;0;0;United Liberation Front of Assam (ULFA)
2000;3;9;45;3;1;0;2;2;21;45;1;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;10;186;6;1;0;2;3;25;186;1;5;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;11;69;8;1;0;3;2;21;69;1;6;0;0;Breton Liberation Front (FLB)
2000;3;11;92;6;1;0;3;4;34;92;1;6;0;0;Peoples War Group (PWG)
2000;3;11;28;9;1;0;3;14;69;28;1;6;0;0;Serb Radical Party
2000;3;12;217;1;1;0;7;1;5;217;0;8;0;0;Animal Liberation Front (ALF)
2000;3;12;6;10;1;0;3;14;71;6;0;6;0;0;Algerian Islamic Extremists
2000;3;13;94;10;1;0;3;4;27;94;1;6;0;0;Mujahedin-e Khalq (MEK)
2000;3;13;6;10;1;0;2;14;67;6;1;5;0;0;Armed Islamic Group (GIA)
2000;3;14;45;3;1;0;2;4;27;45;1;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;14;92;6;1;0;2;4;27;92;0;5;0;0;Lashkar-e-Taiba (LeT)
2000;3;15;45;3;1;0;2;4;34;45;1;5;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;15;160;5;1;0;3;19;99;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;3;15;160;5;1;0;3;19;99;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;3;16;8;11;1;0;6;14;67;8;0;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;3;16;145;2;1;0;2;14;77;145;1;5;0;0;Andres Castro United Front
2000;3;17;45;3;1;0;3;4;34;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;18;160;5;1;0;2;2;18;160;1;5;0;0;Moro Islamic Liberation Front (MILF)
2000;3;20;6;10;1;0;2;14;67;6;1;5;0;0;Salafist Group for Preaching and Fighting (GSPC)
2000;3;20;160;5;1;0;6;14;70;160;0;9;0;0;Abu Sayyaf Group (ASG)
2000;3;21;92;6;1;0;2;14;67;92;1;5;0;0;Lashkar-e-Taiba (LeT)
2000;3;0;92;6;1;0;3;19;100;92;0;6;0;0;Tamil Nadu Liberation Army
2000;3;22;45;3;1;0;3;21;107;45;1;6;0;0;National Liberation Army of Colombia (ELN)
2000;3;22;45;3;1;0;3;21;107;45;1;6;0;0;National Liberation Army of Colombia (ELN)
2000;3;22;8;11;1;0;2;14;69;8;1;9;0;0;National Union for the Total Independence of Angola (UNITA)
2000;3;22;6;10;1;0;3;21;108;6;0;6;0;0;Salafist Group for Preaching and Fighting (GSPC)
2000;3;23;110;10;1;0;3;17;94;110;1;6;0;0;Hezbollah
2000;3;22;30;3;1;0;6;2;18;30;0;13;0;0;Terena Indians
2000;3;26;45;3;1;0;2;14;67;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;26;45;3;1;0;3;14;74;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;27;186;6;1;0;3;4;27;186;1;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;27;186;6;1;0;3;4;27;186;1;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;3;28;141;6;1;0;3;2;18;141;0;6;0;0;Maoists
2000;3;30;45;3;1;0;3;2;21;45;1;6;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;3;31;141;6;1;0;2;3;22;141;1;5;0;0;Communist Party of Nepal- Maoist (CPN-M)
2000;3;31;93;5;0;0;2;4;34;93;0;5;0;0;Free Aceh Movement (GAM)
2000;4;0;45;3;1;0;6;14;67;217;0;13;0;0;Revolutionary Armed Forces of Colombia (FARC)
2000;4;1;93;5;1;0;2;4;34;93;0;5;0;0;Free Aceh Movement (GAM)
2000;4;1;6;10;1;0;2;4;29;6;0;5;0;0;Salafist Group for Preaching and Fighting (GSPC)
2000;4;1;6;10;1;0;3;3;23;6;1;6;0;0;Salafist Group for Preaching and Fighting (GSPC)
2000;4;1;6;10;1;0;9;3;23;6;1;13;0;0;Squadrons of Terror (Katibat El Ahoual)
2000;4;2;141;6;1;0;3;14;77;141;1;6;0;0;Maoists
2000;4;3;87;2;1;0;1;10;54;87;0;5;0;0;Gunmen
2000;4;3;45;3;1;0;6;14;73;45;0;8;0;-9;National Liberation Army of Colombia (ELN)
2000;4;3;45;3;1;0;3;19;103;45;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;4;186;6;1;0;3;4;35;186;0;6;0;0;Liberation Tigers of Tamil Eelam (LTTE)
2000;4;6;603;8;1;0;3;4;27;216;1;6;0;0;Real Irish Republican Army (RIRA)
2000;4;6;45;3;1;0;2;14;67;45;1;5;0;0;Paramilitaries
2000;4;7;110;10;0;0;1;15;85;110;0;5;0;0;Shia Muslim extremists
2000;4;9;160;5;1;0;3;1;11;160;1;6;0;0;Moro National Liberation Front (MNLF)
2000;4;9;160;5;1;0;2;19;99;160;1;5;0;0;Moro National Liberation Front (MNLF)
2000;4;9;217;1;1;0;7;14;76;217;1;8;0;0;Coalition to Save the Preserves (CSP)
2000;4;9;92;6;1;0;6;2;15;92;0;13;0;0;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;15;92;0;13;0;0;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;15;92;0;13;0;0;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;15;92;0;13;0;0;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;15;92;0;5;0;0;National Liberation Front of Tripura (NLFT)
2000;4;9;92;6;1;0;6;2;15;92;0;13;0;0;National Liberation Front of Tripura (NLFT)
2000;4;11;45;3;1;0;3;19;103;45;0;5;0;0;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;15;86;217;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;15;86;217;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;15;86;217;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;1;0;3;19;102;45;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;11;45;3;0;0;3;9;52;45;0;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;11;6;10;1;0;3;8;49;6;0;6;0;0;Algerian Islamic Extremists
2000;4;12;139;11;1;0;3;21;107;139;1;6;0;0;National Union for the Total Independence of Angola (UNITA)
2000;4;12;160;5;1;0;3;3;23;160;1;6;0;0;New Peoples Army (NPA)
2000;4;12;78;8;1;0;3;14;73;78;0;8;0;0;Last Generation
2000;4;12;45;3;1;0;6;14;71;130;0;13;0;1;National Liberation Army of Colombia (ELN)
2000;4;13;603;8;0;0;3;3;22;216;0;6;0;0;Continuity Irish Republican Army (CIRA)
2000;4;13;45;3;1;0;3;21;108;45;1;6;0;0;National Liberation Army of Colombia (ELN)
2000;4;14;217;1;1;0;7;5;40;217;0;8;0;0;Anti-Abortion extremists
2000;4;15;160;5;1;0;3;14;74;160;0;6;0;0;Moro Islamic Liberation Front (MILF)
2000;4;15;160;5;1;0;3;1;7;160;0;6;0;0;Moro Islamic Liberation Front (MILF)
2000;4;15;69;8;1;0;3;3;22;69;0;6;0;0;Iparretarrak (IK)
2000;4;16;141;6;1;0;2;22;109;141;0;5;0;0;Communist Party of Nepal- Maoist (CPN-M)
2000;4;18;92;6;1;0;6;14;77;92;0;5;0;0;National Liberation Front of Tripura (NLFT)
2000;4;19;69;8;1;0;3;1;4;217;0;6;0;0;Breton Liberation Front (FLB)
2000;4;19;92;6;1;1;3;4;27;92;0;6;0;0;Jaish-e-Mohammad (JeM)
2000;4;19;92;6;1;0;2;14;67;92;0;5;0;0;National Liberation Front of Tripura (NLFT)
2000;4;20;6;10;1;0;2;4;34;6;0;5;0;0;Salafist Group for Preaching and Fighting (GSPC)
2000;4;21;98;8;0;0;3;15;86;98;0;6;0;0;Iconoclasts
2000;4;24;92;6;1;0;2;14;77;92;0;5;0;0;Karbi National Volunteers (KNV)
2000;4;24;121;5;1;0;6;18;97;999;0;5;0;1;Abu Sayyaf Group (ASG)
2000;4;24;160;5;1;0;3;1;3;160;1;6;0;0;Abu Sayyaf Group (ASG)
2000;4;25;185;8;0;0;3;10;53;185;1;6;0;0;Basque Fatherland and Freedom (ETA)
2000;4;25;199;8;1;0;3;2;20;199;0;6;0;0;Revolutionary Perspective
2000;4;25;6;10;1;0;3;3;23;6;0;6;0;0;Algerian Islamic Extremists
2000;4;25;199;8;1;0;3;2;21;199;0;6;0;0;Revolutionary Perspective
2000;4;25;235;9;1;0;1;2;18;235;0;5;0;0;Gunmen
2000;4;30;160;5;1;0;3;14;74;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;1;94;10;1;0;3;14;79;94;0;6;0;0;Mujahedin-e Khalq (MEK)
2000;5;1;167;9;1;0;2;4;27;167;0;5;0;0;Chechen Rebels
2000;5;1;177;11;1;0;6;7;47;999;0;13;0;0;Revolutionary United Front (RUF)
2000;5;1;195;11;1;0;3;21;108;195;1;6;0;0;Beja Congress
2000;5;2;160;5;1;0;3;21;107;160;0;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;2;160;5;1;0;3;8;49;160;0;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;2;160;5;1;0;3;1;6;160;0;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;2;603;8;0;0;2;14;68;233;1;9;0;0;Irish Republican Army (IRA)
2000;5;1;92;6;1;0;2;14;71;92;0;5;0;0;National Liberation Front of Tripura (NLFT)
2000;5;3;160;5;1;1;3;2;21;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;3;160;5;1;0;3;11;60;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;3;160;5;1;0;3;14;71;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;3;6;10;1;0;2;1;0;6;0;5;0;0;Islamist extremists
2000;5;3;95;10;1;0;2;2;18;95;0;5;0;0;Kurdistan Workers Party (PKK)
2000;5;3;8;11;1;0;2;7;47;999;1;5;0;0;National Union for the Total Independence of Angola (UNITA)
2000;5;3;160;5;1;0;6;14;67;160;0;13;0;-9;Moro Islamic Liberation Front (MILF)
2000;5;4;97;10;1;0;3;14;67;97;0;6;0;0;Hezbollah
2000;5;4;209;10;1;0;1;2;15;209;1;5;0;0;Turkish Hezbollah
2000;5;6;160;5;1;0;3;14;67;160;1;6;0;0;Moro Islamic Liberation Front (MILF)
2000;5;6;1003;9;1;0;3;15;86;175;1;6;0;0;Albanian extremists
2000;5;7;185;8;1;0;1;10;53;185;0;5;0;0;Basque Fatherland and Freedom (ETA)
2000;5;7;217;1;1;0;7;1;5;217;0;8;0;0;Revenge of the Trees
2000;5;7;45;3;1;0;6;11;57;45;0;5;0;-9;Gunmen
2000;5;8;185;8;1;0;3;1;0;185;1;6;0;0;First of October Antifascist Resistance Group (GRAPO)
2000;5;8;92;6;1;0;7;15;87;92;0;11;0;0;Vishwa Hindu Parishad (VHP)
2000;5;8;167;9;1;0;3;4;31;167;0;6;0;0;Chechen Rebels
2000;5;8;177;11;1;0;2;7;47;999;1;5;0;0;Revolutionary United Front (RUF)
2000;5;9;177;11;1;0;6;12;62;216;1;13;0;0;Revolutionary United Front (RUF)
